kind,path,id,seriesTitle,level,subject,topic,difficulty,exerciseCount,repeatTotal,types,generators
exercice,fr/exercices/cp/maths/numeration/encadrement-01,0fdc8c91,Encadrer à la dizaine,CP,maths,numeration,moyen,5,5,bounding,
application,fr/applications/cp/maths/operations/addition-facile,b1c2d3e4,Addition facile,CP,maths,operations,facile,1,10,number-check,additionFacile
application,fr/applications/cp/maths/operations/ajouter-10,cafd4a96,Ajouter ou enlever 10,CP,maths,operations,facile,1,10,number-check,ajouterSoustraire10
application,fr/applications/cp/maths/operations/complements-10,af07bda0,Compléments à 10,CP,maths,operations,facile,1,10,number-check,complements10
application,fr/applications/cp/maths/operations/doubles-moities,8b5ac2b0,Doubles et moitiés,CP,maths,operations,facile,1,10,number-check,doublesMoities
application,fr/applications/cp/maths/operations/soustraction-facile,f5a6b7c8,Soustraction facile,CP,maths,operations,facile,1,10,number-check,soustractionFacile
application,fr/applications/cp/maths/operations/tables-addition,76a25e66,Tables d'addition,CP,maths,operations,facile,1,12,number-check,tablesAdditionCP
application,fr/applications/cp/maths/operations/tables-soustraction,e78474b5,Tables de soustraction,CP,maths,operations,facile,1,12,number-check,tablesSoustractionCP
exercice,fr/exercices/cp/maths/operations/bases-01,dc949eb2,Opérations de base,CP,maths,operations,facile,2,2,number-check,
exercice,fr/exercices/cp/maths/operations/complement-10-01,0daca6ff,Les compléments à 10,CP,maths,operations,facile,9,9,number-check,
exercice,fr/exercices/cp/maths/operations/doubles-01,1be99f27,Les doubles,CP,maths,operations,facile,8,8,number-check,
exercice,fr/exercices/cp/maths/operations/trous-add-01,23095d54,Additions à trou,CP,maths,operations,facile,5,5,number-check,
exercice,fr/exercices/cp/maths/operations/trous-sous-01,beba8bb7,Soustractions à trou,CP,maths,operations,facile,5,5,number-check,
application,fr/applications/cp/maths/operations/soustraction-trou,23dd2308,Soustractions à trou,CP,maths,operations,moyen,1,10,number-check,soustractionTrou
application,fr/applications/cp/maths/operations/trous-addition-gen,d51a6fc1,Additions à trou,CP,maths,operations,moyen,1,10,number-check,additionTrou
exercice,fr/exercices/cp/maths/operations/mult-intro-01,643ab54f,Introduction à la multiplication,CP,maths,operations,moyen,5,5,number-check,
exercice,fr/exercices/cp/maths/problemes/quotidien-01,658513c4,Problèmes du quotidien,CP,maths,problemes,facile,2,2,problem,
exercice,fr/exercices/ce1/maths/geometrie/angle-droit-01,41912cab,L'angle droit,CE1,maths,geometrie,facile,3,3,true-false | mcq,
exercice,fr/exercices/ce1/maths/geometrie/figures-01,69fc2565,Les figures planes,CE1,maths,geometrie,facile,5,5,mcq | true-false,
exercice,fr/exercices/ce1/maths/geometrie/solides-01,1c382e0b,Les solides,CE1,maths,geometrie,moyen,4,4,matching | true-false | mcq,
exercice,fr/exercices/ce1/maths/geometrie/symetrie-01,c597c6bf,La symétrie,CE1,maths,geometrie,moyen,3,3,true-false | mcq,
exercice,fr/exercices/ce1/maths/grandeurs/durees-01,75220261,Les durées,CE1,maths,grandeurs,facile,3,3,true-false | convert | mcq,
exercice,fr/exercices/ce1/maths/grandeurs/longueurs-01,d81c39ec,Les longueurs,CE1,maths,grandeurs,moyen,3,3,convert | true-false,
exercice,fr/exercices/ce1/maths/grandeurs/masses-01,df1633b0,Les masses,CE1,maths,grandeurs,moyen,3,3,convert | true-false | mcq,
exercice,fr/exercices/ce1/maths/logique/grille-01,13f0385a,Grilles logiques,CE1,maths,logique,moyen,2,2,logic-grid,
exercice,fr/exercices/ce1/maths/mesures/heure-01,2301152e,Apprendre à lire l'heure,CE1,maths,mesures,facile,3,3,clock,
application,fr/applications/ce1/maths/numeration/pairs-impairs,121a53c7,Nombres pairs et impairs,CE1,maths,numeration,facile,1,10,number-check,pairOuImpair
application,fr/applications/ce1/maths/numeration/regle-graduee,d226ef83,Lecture sur la règle graduée,CE1,maths,numeration,facile,1,8,ruler,ruler
exercice,fr/exercices/ce1/maths/numeration/base10-01,41c73e82,Les blocs de base 10,CE1,maths,numeration,facile,2,2,base-10,
exercice,fr/exercices/ce1/maths/numeration/encadrement-01,46662d3a,Encadrement de nombres,CE1,maths,numeration,facile,4,4,bounding,
exercice,fr/exercices/ce1/maths/numeration/regle-graduee-01,df12040a,Lecture sur la règle graduée,CE1,maths,numeration,facile,4,4,ruler,
exercice,fr/exercices/ce1/maths/numeration/suites-01,ffaa8232,Suites de nombres,CE1,maths,numeration,facile,3,3,sequence,
application,fr/applications/ce1/maths/numeration/arrondir-centaine,c4305c95,Arrondir à la centaine,CE1,maths,numeration,moyen,1,10,number-check,arrondirNombre
application,fr/applications/ce1/maths/numeration/comparer-1000,1aca14c0,Comparer des nombres jusqu'à 1 000,CE1,maths,numeration,moyen,1,10,compare,comparerNombres
application,fr/applications/ce1/maths/numeration/decompo-gen,cf457f3d,"Centaines, dizaines et unités",CE1,maths,numeration,moyen,1,10,number-check,decompositionCentaines
application,fr/applications/ce1/maths/numeration/suites-ce1,488ac8c6,Suites de nombres,CE1,maths,numeration,moyen,1,10,sequence,compterDeNCE1
application,fr/applications/ce1/maths/operations/addition-1,7fb8f411,Table d'addition de 1,CE1,maths,operations,facile,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-2,1b1643b2,Table d'addition de 2,CE1,maths,operations,facile,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-3,75b31049,Table d'addition de 3,CE1,maths,operations,facile,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-4,d5b12470,Table d'addition de 4,CE1,maths,operations,facile,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-5,eb192211,Table d'addition de 5,CE1,maths,operations,facile,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/soustraction-1,27b2a4a2,Table de soustraction de 1,CE1,maths,operations,facile,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-2,6e52f745,Table de soustraction de 2,CE1,maths,operations,facile,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-3,d5261222,Table de soustraction de 3,CE1,maths,operations,facile,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-4,8bbf1da0,Table de soustraction de 4,CE1,maths,operations,facile,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-5,923d56c5,Table de soustraction de 5,CE1,maths,operations,facile,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/table-de-10,52c6ed61,Table de 10,CE1,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce1/maths/operations/table-de-2,d1c6fd94,Table de 2,CE1,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce1/maths/operations/table-de-3,cbcd21db,Table de 3,CE1,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce1/maths/operations/table-de-4,01fc2463,Table de 4,CE1,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce1/maths/operations/table-de-5,d85624e3,Table de 5,CE1,maths,operations,facile,1,10,number-check,multiplicationSimple
exercice,fr/exercices/ce1/maths/operations/additions-01,c6217178,Additions CE1,CE1,maths,operations,facile,3,3,number-check,
exercice,fr/exercices/ce1/maths/operations/tables-01,981b1d9c,Tables de multiplication,CE1,maths,operations,facile,4,4,number-check,
application,fr/applications/ce1/maths/operations/addition-10,9c936346,Table d'addition de 10,CE1,maths,operations,moyen,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-11,87a0efc1,Table d'addition de 11,CE1,maths,operations,moyen,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-6,c84d9bd3,Table d'addition de 6,CE1,maths,operations,moyen,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-7,f28593db,Table d'addition de 7,CE1,maths,operations,moyen,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-8,c133bdd6,Table d'addition de 8,CE1,maths,operations,moyen,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-9,ed3d6003,Table d'addition de 9,CE1,maths,operations,moyen,1,10,number-check,additionFacile
application,fr/applications/ce1/maths/operations/addition-simple,2f609f6f,Addition Simple,CE1,maths,operations,moyen,1,10,number-check,additionSimple
application,fr/applications/ce1/maths/operations/addition-trou,a1b2c3d4,Addition à trou,CE1,maths,operations,moyen,1,10,number-check,additionTrou
application,fr/applications/ce1/maths/operations/ajouter-100,2ad23fe1,Ajouter ou soustraire 100,CE1,maths,operations,moyen,1,10,number-check,ajouterSoustraire100
application,fr/applications/ce1/maths/operations/ajouter-soustraire-10,e2cfe849,Ajouter ou soustraire 10,CE1,maths,operations,moyen,1,10,number-check,ajouterSoustraire10
application,fr/applications/ce1/maths/operations/complements-100,16a90f5f,Compléments à 100,CE1,maths,operations,moyen,1,10,number-check,complementNombre
application,fr/applications/ce1/maths/operations/multiplication-simple,4ae726c4,Multiplications,CE1,maths,operations,moyen,1,10,number-check,multiplicationSimple
application,fr/applications/ce1/maths/operations/multiplication-trou,e5f6a7b8,Multiplication à trou,CE1,maths,operations,moyen,1,10,number-check,multiplicationTrou
application,fr/applications/ce1/maths/operations/soustraction-10,739642ca,Table de soustraction de 10,CE1,maths,operations,moyen,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-11,babd64c9,Table de soustraction de 11,CE1,maths,operations,moyen,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-6,8abe210f,Table de soustraction de 6,CE1,maths,operations,moyen,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-7,49ddff90,Table de soustraction de 7,CE1,maths,operations,moyen,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-8,047a6485,Table de soustraction de 8,CE1,maths,operations,moyen,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-9,47672530,Table de soustraction de 9,CE1,maths,operations,moyen,1,10,number-check,soustractionFacile
application,fr/applications/ce1/maths/operations/soustraction-simple,a3410763,Soustractions,CE1,maths,operations,moyen,1,10,number-check,soustractionSimple
application,fr/applications/ce1/maths/operations/soustraction-trou,cf4da89c,Soustraction à trou,CE1,maths,operations,moyen,1,10,number-check,soustractionTrou
exercice,fr/exercices/ce1/maths/operations/pyramides-01,411862ee,Pyramides d'additions,CE1,maths,operations,moyen,2,2,pyramid,
exercice,fr/exercices/ce1/maths/operations/trous-01,69630b5c,Opérations à trou,CE1,maths,operations,moyen,4,4,number-check,
exercice,fr/exercices/ce2/maths/fractions/fractions-01,026633aa,Fractions simples,CE2,maths,fractions,facile,5,5,true-false | number-check | mcq,
exercice,fr/exercices/ce2/maths/geometrie/vrai-faux-01,87119ad2,Vrai ou faux ? Géométrie,CE2,maths,geometrie,facile,3,3,true-false,
exercice,fr/exercices/ce2/maths/geometrie/angles-01,f2686b6b,Les angles,CE2,maths,geometrie,moyen,3,3,matching | true-false | mcq,
exercice,fr/exercices/ce2/maths/geometrie/solides-01,8ec79feb,Les solides,CE2,maths,geometrie,moyen,3,3,matching | true-false,
exercice,fr/exercices/ce2/maths/geometrie/symetrie-01,76efe948,La symétrie,CE2,maths,geometrie,moyen,2,2,true-false | matching,
exercice,fr/exercices/ce2/maths/geometrie/triangles-01,bb2db41f,Les triangles,CE2,maths,geometrie,moyen,3,3,matching | true-false | mcq,
exercice,fr/exercices/ce2/maths/grandeurs/monnaie-01,192e5f75,La monnaie,CE2,maths,grandeurs,facile,4,4,true-false | number-check | matching,
exercice,fr/exercices/ce2/maths/grandeurs/contenances-01,139269f7,Les contenances,CE2,maths,grandeurs,moyen,3,3,convert | true-false,
exercice,fr/exercices/ce2/maths/grandeurs/durees-01,827f5809,Les durées,CE2,maths,grandeurs,moyen,3,3,matching | number-check | true-false,
exercice,fr/exercices/ce2/maths/grandeurs/masses-01,9d145297,Les masses,CE2,maths,grandeurs,moyen,2,2,convert | true-false,
exercice,fr/exercices/ce2/maths/logique/enigmes-fruits-01,ae577336,Énigmes de fruits,CE2,maths,logique,moyen,3,3,problem,
exercice,fr/exercices/ce2/maths/mesures/longueurs-01,1dcd3e6f,Mesures de longueurs,CE2,maths,mesures,moyen,3,3,convert,
application,fr/applications/ce2/maths/numeration/arabic-to-roman-facile,e22820d6,Ecrire chiffres romains,CE2,maths,numeration,facile,1,10,number-check,romanNumeralsReverse
application,fr/applications/ce2/maths/numeration/arrondir-dizaine,68aac673,Arrondir à la dizaine,CE2,maths,numeration,facile,1,10,number-check,arrondirNombre
application,fr/applications/ce2/maths/numeration/complement-a-10,dc4839da,Complément à 10,CE2,maths,numeration,facile,1,10,number-check,complementNombre
application,fr/applications/ce2/maths/numeration/estimation-somme-facile,efd73d44,Estimer une somme à la dizaine,CE2,maths,numeration,facile,1,10,mcq,estimationSomme
application,fr/applications/ce2/maths/numeration/recomposer-facile,7f9aa6e1,Recomposer un nombre (2-3 chiffres),CE2,maths,numeration,facile,1,10,number-check,recomposerNombre
application,fr/applications/ce2/maths/numeration/roman-to-arabic-facile,71e2e9bd,Lire chiffres romains,CE2,maths,numeration,facile,1,10,number-check,romanNumerals
exercice,fr/exercices/ce2/maths/numeration/suites-01,6b8c4557,Suites de nombres,CE2,maths,numeration,facile,4,4,sequence,
application,fr/applications/ce2/maths/numeration/arabic-to-roman-moyen,e163e4ac,Ecrire chiffres romains,CE2,maths,numeration,moyen,1,10,number-check,romanNumeralsReverse
application,fr/applications/ce2/maths/numeration/arrondir-centaine,814f2e87,Arrondir à la centaine,CE2,maths,numeration,moyen,1,10,number-check,arrondirNombre
application,fr/applications/ce2/maths/numeration/comparer-10000,fa708ecd,Comparer des nombres jusqu'à 10 000,CE2,maths,numeration,moyen,1,10,compare,comparerNombres
application,fr/applications/ce2/maths/numeration/complement-a-100,95fced06,Complément à 100,CE2,maths,numeration,moyen,1,10,number-check,complementNombre
application,fr/applications/ce2/maths/numeration/estimation-somme-moyen,daedfbe2,Estimer 3 nombres à la dizaine,CE2,maths,numeration,moyen,1,10,mcq,estimationSomme
application,fr/applications/ce2/maths/numeration/recomposer-moyen,20d36fc7,Recomposer un nombre (3-4 chiffres),CE2,maths,numeration,moyen,1,10,number-check,recomposerNombre
application,fr/applications/ce2/maths/numeration/roman-to-arabic-moyen,709be8f4,Lire chiffres romains,CE2,maths,numeration,moyen,1,10,number-check,romanNumerals
application,fr/applications/ce2/maths/numeration/suites-ce2,2a47755e,Suites de nombres,CE2,maths,numeration,moyen,1,10,sequence,compterDeNCE1
exercice,fr/exercices/ce2/maths/numeration/encadrement-01,ece691f8,Encadrement à la centaine,CE2,maths,numeration,moyen,3,3,bounding,
exercice,fr/exercices/ce2/maths/numeration/ordonner-01,dd2805e3,Ordonner des nombres,CE2,maths,numeration,moyen,3,3,sort,
application,fr/applications/ce2/maths/numeration/arabic-to-roman-difficile,82586a06,Ecrire chiffres romains,CE2,maths,numeration,difficile,1,10,number-check,romanNumeralsReverse
application,fr/applications/ce2/maths/numeration/arrondir-millier,4c46693f,Arrondir au millier,CE2,maths,numeration,difficile,1,10,number-check,arrondirNombre
application,fr/applications/ce2/maths/numeration/complement-a-1000,9761a242,Complément à 1000,CE2,maths,numeration,difficile,1,10,number-check,complementNombre
application,fr/applications/ce2/maths/numeration/estimation-somme-difficile,7ef6eb3b,Estimer une somme à la centaine,CE2,maths,numeration,difficile,1,10,mcq,estimationSomme
application,fr/applications/ce2/maths/numeration/recomposer-difficile,ead3b372,Recomposer un nombre (5-6 chiffres),CE2,maths,numeration,difficile,1,10,number-check,recomposerNombre
application,fr/applications/ce2/maths/numeration/roman-to-arabic-difficile,7eaa8805,Lire chiffres romains,CE2,maths,numeration,difficile,1,10,number-check,romanNumerals
application,fr/applications/ce2/maths/operations/doubles-moities,f3648f2c,Doubles et moitiés,CE2,maths,operations,facile,1,10,number-check,doublesMoities
application,fr/applications/ce2/maths/operations/table-02,4d68cbd4,Table de 2,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-03,a257fde9,Table de 3,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-04,d76efb42,Table de 4,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-05,e1d5145e,Table de 5,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-06,18f26bd4,Table de 6,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-07,d21c6ffa,Table de 7,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-08,99a7c848,Table de 8,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-09,b9ca21f1,Table de 9,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/table-10,23fccc48,Table de 10,CE2,maths,operations,facile,1,10,number-check,multiplicationSimple
application,fr/applications/ce2/maths/operations/addition-trou,be7e0175,Additions à trou,CE2,maths,operations,moyen,1,10,number-check,additionTrou
application,fr/applications/ce2/maths/operations/division-simple,f66022f9,Divisions,CE2,maths,operations,moyen,1,10,number-check,divisionSimple
application,fr/applications/ce2/maths/operations/division-trou,48352e86,Divisions à trou,CE2,maths,operations,moyen,1,10,number-check,divisionTrou
application,fr/applications/ce2/maths/operations/multiplication-trou,287d6d42,Multiplications à trou,CE2,maths,operations,moyen,1,10,number-check,multiplicationTrou
application,fr/applications/ce2/maths/operations/perimetre,889f94bd,Périmètres,CE2,maths,operations,moyen,1,10,number-check,perimetreFormes
application,fr/applications/ce2/maths/operations/soustraction-trou,71922bac,Soustractions à trou,CE2,maths,operations,moyen,1,10,number-check,soustractionTrou
exercice,fr/exercices/ce2/maths/operations/additions-01,627fefc7,Additions à trois chiffres,CE2,maths,operations,moyen,4,4,number-check,
exercice,fr/exercices/ce2/maths/operations/soustractions-01,89c9330a,Soustractions à trois chiffres,CE2,maths,operations,moyen,4,4,number-check,
exercice,fr/exercices/ce2/maths/operations/tables-01,5b8ede1d,Tables de multiplication (6 à 9),CE2,maths,operations,moyen,5,13,number-check,
exercice,fr/exercices/ce2/maths/problemes/quotidien-01,fdf25fcb,Problèmes du quotidien,CE2,maths,problemes,facile,4,4,problem,
exercice,fr/exercices/cm1/maths/decimaux/decomposer-decimal-01,80c774be,Décomposer un nombre décimal (dixièmes),CM1,maths,decimaux,facile,1,8,tile-select,decomposerDecimal
exercice,fr/exercices/cm1/maths/decimaux/trier-decimaux,b51629c0,Trier des décimaux,CM1,maths,decimaux,facile,3,18,sort,trierDecimaux
application,fr/applications/cm1/maths/decimaux/ajouter-decimaux,acf67d2f,Additions de décimaux,CM1,maths,decimaux,moyen,1,10,number-check,additionDecimaux
application,fr/applications/cm1/maths/decimaux/comparer-decimaux,9e57878d,Comparer des décimaux,CM1,maths,decimaux,moyen,1,10,compare,comparerDecimaux
application,fr/applications/cm1/maths/decimaux/soustraire-decimaux,f67a1db1,Soustractions de décimaux,CM1,maths,decimaux,moyen,1,10,number-check,soustractionDecimaux
exercice,fr/exercices/cm1/maths/decimaux/decomposer-decimal-02,77d3f2ab,Décomposer un nombre décimal (centièmes),CM1,maths,decimaux,moyen,1,8,tile-select,decomposerDecimal
exercice,fr/exercices/cm1/maths/decimaux/decomposer-decimal-03,2377663e,Décomposer un nombre décimal (millièmes),CM1,maths,decimaux,difficile,1,8,tile-select,decomposerDecimal
application,fr/applications/cm1/maths/fractions/egalites-fractions,f3a1d8c6,Égalités de fractions décimales,CM1,maths,fractions,facile,1,10,tile-select,egalitesFractions
exercice,fr/exercices/cm1/maths/fractions/decomposer-fraction-decimale-01,a12cc67c,Décomposer une fraction décimale,CM1,maths,fractions,facile,10,10,number-check,
exercice,fr/exercices/cm1/maths/fractions/repr-fraction-decimale-01,c4ac9532,Représentation fraction decimale,CM1,maths,fractions,facile,5,5,fraction-check,
application,fr/applications/cm1/maths/fractions/recomposer-fractions,e2c7a4f9,Recomposer des fractions décimales,CM1,maths,fractions,moyen,1,10,fraction-check,recomposerFractions
exercice,fr/exercices/cm1/maths/fractions/lire-fraction-decimale-regle,29baa121,Lire une fraction sur une règle,CM1,maths,fractions,moyen,10,10,fraction-check,
application,fr/applications/cm1/maths/geometrie/perimetre-formes,b9d4e731,Périmètres de figures géométriques,CM1,maths,geometrie,moyen,1,10,number-check,perimetreFormes
exercice,fr/exercices/cm1/maths/geometrie/quadrilateres-01,1df3f578,Les quadrilatères,CM1,maths,geometrie,moyen,3,3,matching | true-false | mcq,
exercice,fr/exercices/cm1/maths/geometrie/solides-01,4b138952,Les solides,CM1,maths,geometrie,moyen,3,3,matching | true-false | mcq,
exercice,fr/exercices/cm1/maths/geometrie/symetrie-01,97bc34ac,La symétrie,CM1,maths,geometrie,moyen,2,2,true-false | matching,
exercice,fr/exercices/cm1/maths/geometrie/vrai-faux-01,9a877877,Vrai ou faux ? Géométrie CM1,CM1,maths,geometrie,moyen,3,3,true-false,
exercice,fr/exercices/cm1/maths/mesures/distances-01,a02be157,Conversions de distances,CM1,maths,mesures,facile,5,5,convert,
exercice,fr/exercices/cm1/maths/mesures/masses-02,72fa8a84,Conversions de masses,CM1,maths,mesures,facile,5,5,convert,
exercice,fr/exercices/cm1/maths/mesures/volumes-01,12686401,Conversions de volumes,CM1,maths,mesures,facile,5,5,convert,
exercice,fr/exercices/cm1/maths/mesures/aires-01,f6f9d225,Les aires,CM1,maths,mesures,moyen,4,4,true-false | number-check | mcq,
exercice,fr/exercices/cm1/maths/mesures/conversions-01,83ddcca3,Conversions de mesures,CM1,maths,mesures,moyen,2,2,convert,
exercice,fr/exercices/cm1/maths/mesures/distances-02,2288f5b8,Conversions de distances (décimaux),CM1,maths,mesures,moyen,5,5,convert,
exercice,fr/exercices/cm1/maths/mesures/masses-01,9d3d985e,Mesures de masses,CM1,maths,mesures,moyen,3,3,convert,
exercice,fr/exercices/cm1/maths/mesures/masses-03,d43e9d19,Conversions de masses (décimaux),CM1,maths,mesures,moyen,5,5,convert,
exercice,fr/exercices/cm1/maths/mesures/volumes-02,500db905,Conversions de volumes (décimaux),CM1,maths,mesures,moyen,5,5,convert,
exercice,fr/exercices/cm1/maths/nombres/fractions-01,64533d30,Découvrir les fractions,CM1,maths,nombres,facile,4,4,fraction,
exercice,fr/exercices/cm1/maths/nombres/fractions-02,0c332239,Fractions et formes,CM1,maths,nombres,facile,5,5,fraction,
exercice,fr/exercices/cm1/maths/nombres/trier-fractions,6743adb1,Trier des fractions,CM1,maths,nombres,facile,3,18,sort,trierFractions
exercice,fr/exercices/cm1/maths/nombres/decimaux-01,41c8b2e2,Comprendre les décimaux,CM1,maths,nombres,moyen,3,3,true-false | mcq | number-check,
exercice,fr/exercices/cm1/maths/nombres/fractions-03,74458f89,Fractions : comparer et reconnaître,CM1,maths,nombres,moyen,5,5,mcq,
exercice,fr/exercices/cm1/maths/nombres/proportionnalite-01,2aafa140,Tableaux de proportionnalité,CM1,maths,nombres,moyen,3,3,fill-table,
exercice,fr/exercices/cm1/maths/nombres/fractions-04,6292f09a,Fractions : calculs et problèmes,CM1,maths,nombres,difficile,5,5,problem,
exercice,fr/exercices/cm1/maths/nombres/fractions-equiv-01,d9851e0c,Fractions équivalentes,CM1,maths,nombres,difficile,3,3,true-false | mcq,
exercice,fr/exercices/cm1/maths/numeration/calcul-mental-grands-01,04810e26,Calcul mental — grands nombres (facile),CM1,maths,numeration,facile,1,8,number-check,calcMentalGrands
exercice,fr/exercices/cm1/maths/numeration/tableau-numeration-01,ead5bb7c,Tableau de numération,CM1,maths,numeration,facile,3,3,fill-table,
application,fr/applications/cm1/maths/numeration/arrondir-millier,83e8ee29,Arrondir au millier,CM1,maths,numeration,moyen,1,10,number-check,arrondirNombre
application,fr/applications/cm1/maths/numeration/comparer-grands-nombres,8e69df7a,Comparer de grands nombres,CM1,maths,numeration,moyen,1,10,compare,comparerNombres
application,fr/applications/cm1/maths/numeration/suites-cm1,07fae9b0,Suites arithmétiques,CM1,maths,numeration,moyen,1,10,sequence,compterDeNCE1
exercice,fr/exercices/cm1/maths/numeration/calcul-mental-grands-02,10e69cd2,Calcul mental — grands nombres (moyen),CM1,maths,numeration,moyen,1,8,number-check,calcMentalGrands
exercice,fr/exercices/cm1/maths/numeration/comparer-01,43080a40,Comparer des nombres,CM1,maths,numeration,moyen,3,3,compare,
exercice,fr/exercices/cm1/maths/numeration/grands-nombres-01,b19c9737,Les grands nombres,CM1,maths,numeration,moyen,3,3,multi-question | mcq,
exercice,fr/exercices/cm1/maths/numeration/lire-nombres-100,6e5931a7,Lire des nombres 1 à 100,CM1,maths,numeration,moyen,10,10,number-check,
exercice,fr/exercices/cm1/maths/numeration/lire-nombres-10000,e8b18364,Lire des nombres jusqu'à 10 000,CM1,maths,numeration,moyen,10,10,number-check,
exercice,fr/exercices/cm1/maths/numeration/multiples-01,9a9b5a3c,Multiples et diviseurs,CM1,maths,numeration,moyen,3,3,true-false | mcq,
exercice,fr/exercices/cm1/maths/numeration/nombre-romains-series-01,5a78518a,Serie nombre romains,CM1,maths,numeration,moyen,3,3,sequence,
exercice,fr/exercices/cm1/maths/numeration/calcul-mental-grands-03,c545854b,Calcul mental — grands nombres (difficile),CM1,maths,numeration,difficile,1,8,number-check,calcMentalGrands
exercice,fr/exercices/cm1/maths/numeration/encadrement-01,02029bbf,Encadrement au millier,CM1,maths,numeration,difficile,3,3,bounding,
