kind,path,id,seriesTitle,level,subject,topic,difficulty,exerciseCount,repeatTotal,lengthFlag,types,generators,classes
exercice,fr/exercices/cp/maths/numeration/encadrement-01,0fdc8c91,Encadrer à la dizaine,CP,maths,numeration,moyen,5,5,,bounding,,S1.1.1
application,fr/applications/cp/maths/operations/addition-facile,b1c2d3e4,Addition facile,CP,maths,operations,facile,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/cp/maths/operations/ajouter-10,cafd4a96,Ajouter ou enlever 10,CP,maths,operations,facile,1,10,,number-check,ajouterSoustraire10,S1.1.2
application,fr/applications/cp/maths/operations/complements-10,af07bda0,Compléments à 10,CP,maths,operations,facile,1,10,,number-check,complements10,S1.1.2
application,fr/applications/cp/maths/operations/doubles-moities,8b5ac2b0,Doubles et moitiés,CP,maths,operations,facile,1,10,,number-check,doublesMoities,S1.1.2
application,fr/applications/cp/maths/operations/soustraction-facile,f5a6b7c8,Soustraction facile,CP,maths,operations,facile,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/cp/maths/operations/tables-addition,76a25e66,Tables d'addition,CP,maths,operations,facile,1,12,,number-check,tablesAdditionCP,S1.1.1
application,fr/applications/cp/maths/operations/tables-soustraction,e78474b5,Tables de soustraction,CP,maths,operations,facile,1,12,,number-check,tablesSoustractionCP,S1.1.1
exercice,fr/exercices/cp/maths/operations/bases-01,dc949eb2,Opérations de base,CP,maths,operations,facile,2,2,,number-check,,S1.1.1
exercice,fr/exercices/cp/maths/operations/complement-10-01,0daca6ff,Les compléments à 10,CP,maths,operations,facile,9,9,,number-check,,S1.1.2
exercice,fr/exercices/cp/maths/operations/doubles-01,1be99f27,Les doubles,CP,maths,operations,facile,8,8,,number-check,,S1.1.2
exercice,fr/exercices/cp/maths/operations/pose-addition-01,a6f99048,Additions posées (sans retenue),CP,maths,operations,facile,5,5,,column-op,,S1.1.1
exercice,fr/exercices/cp/maths/operations/pyramides-01,0e7b0ca1,Pyramides d'additions,CP,maths,operations,facile,5,5,,pyramid,,S1.2.2
exercice,fr/exercices/cp/maths/operations/tables-addition-01,cptal001,Tables d'addition (1–5),CP,maths,operations,facile,5,5,,number-check,,S1.1.1
exercice,fr/exercices/cp/maths/operations/trous-add-01,23095d54,Additions à trou,CP,maths,operations,facile,5,5,,number-check,,S1.1.1 | S1.1.2
exercice,fr/exercices/cp/maths/operations/trous-sous-01,beba8bb7,Soustractions à trou,CP,maths,operations,facile,5,5,,number-check,,S1.1.1
application,fr/applications/cp/maths/operations/soustraction-trou,23dd2308,Soustractions à trou,CP,maths,operations,moyen,1,10,,number-check,soustractionTrou,S1.1.1
application,fr/applications/cp/maths/operations/trous-addition-gen,d51a6fc1,Additions à trou,CP,maths,operations,moyen,1,10,,number-check,additionTrou,S1.1.1
exercice,fr/exercices/cp/maths/operations/mult-intro-01,643ab54f,Introduction à la multiplication,CP,maths,operations,moyen,5,5,,number-check,,S1.1.1
exercice,fr/exercices/cp/maths/operations/mult-intro-02,mult02cp1,Calculer une multiplication,CP,maths,operations,moyen,5,5,,number-check,,S1.1.1
exercice,fr/exercices/cp/maths/operations/mult-intro-03,mult03cp1,Écrire une multiplication,CP,maths,operations,moyen,5,5,,number-check,,S1.1.1
exercice,fr/exercices/cp/maths/operations/pose-addition-02,cd59eb7c,Additions posées (avec retenue),CP,maths,operations,moyen,5,5,,column-op,,S1.1.1
exercice,fr/exercices/cp/maths/problemes/comparaison-ecart-01,e0f1a2b3,Combien de plus ? Combien de moins ?,CP,maths,problemes,facile,5,5,,problem,,A3.1
exercice,fr/exercices/cp/maths/problemes/quotidien-01,658513c4,Problèmes du quotidien,CP,maths,problemes,facile,2,2,,problem,,A2.1 | A2.2
exercice,fr/exercices/cp/maths/problemes/problemes-inverses,inv-prob,Problèmes inverses,CP,maths,problemes,moyen,1,1,too-short,inverse-problem,,S2.2.2
exercice,fr/exercices/ce1/maths/calcul/liens-numeriques-01,lnum01ce1,Décomposer un nombre (arbre),CE1,maths,calcul,facile,5,5,,number-check,,S1.1.1
exercice,fr/exercices/ce1/maths/calcul/calcul-reflechi-02,cc01ce1x,Chaînes de calcul (2 étapes),CE1,maths,calcul,moyen,5,5,,calc-chain,,S1.1.2 | S1.1.3
exercice,fr/exercices/ce1/maths/donnees/donnees-01,ce1do001,Construire un diagramme en barres,CE1,maths,donnees,facile,3,3,,bar-chart,,D1.1.1 | S2.1.1
exercice,fr/exercices/ce1/maths/donnees/donnees-02,ce1do002,Lire un diagramme en barres,CE1,maths,donnees,moyen,3,3,,bar-chart,,D1.1.1 | S2.1.1
exercice,fr/exercices/ce1/maths/geometrie/angle-droit-01,41912cab,L'angle droit,CE1,maths,geometrie,facile,3,3,,true-false | mcq,,S1.1.1 | S3.2.3
exercice,fr/exercices/ce1/maths/geometrie/figures-01,69fc2565,Les figures planes,CE1,maths,geometrie,facile,5,5,,mcq | true-false,,S1.1.1 | S2.2.1 | S3.2.3
exercice,fr/exercices/ce1/maths/geometrie/figures-02,d2a8f103,Propriétés des figures,CE1,maths,geometrie,facile,3,3,,select,,S1.1.1
exercice,fr/exercices/ce1/maths/geometrie/quadrillage-lire-01,ce1ql001,Lire les coordonnées d'un point (1),CE1,maths,geometrie,facile,5,5,,coordinate-grid,,S1.1.1
exercice,fr/exercices/ce1/maths/geometrie/quadrillage-placer-01,ce1qp001,Placer un point sur le quadrillage,CE1,maths,geometrie,facile,5,5,,coordinate-grid,,S1.1.1
exercice,fr/exercices/ce1/maths/geometrie/solides-01,1c382e0b,Les solides,CE1,maths,geometrie,moyen,4,4,,matching | true-false | mcq,,S1.1.1 | S2.1.1 | S2.2.1 | S3.2.3
exercice,fr/exercices/ce1/maths/geometrie/symetrie-01,c597c6bf,La symétrie,CE1,maths,geometrie,moyen,3,3,,true-false | mcq,,S1.1.1 | S2.1.4 | S3.2.3
exercice,fr/exercices/ce1/maths/grandeurs/calendrier-01,cal001ce1,Lire un calendrier,CE1,maths,grandeurs,facile,3,3,,multi-question,,I1.1.1
exercice,fr/exercices/ce1/maths/grandeurs/durees-01,75220261,Les durées,CE1,maths,grandeurs,facile,3,3,,true-false | convert | mcq,,I1.1.1
exercice,fr/exercices/ce1/maths/grandeurs/monnaie-01,b4c89751,La monnaie,CE1,maths,grandeurs,facile,5,5,,true-false | problem | number-check | matching,,A1.1 | S1.1.1 | S2.2.1 | S3.2.3
exercice,fr/exercices/ce1/maths/grandeurs/longueurs-01,d81c39ec,Les longueurs,CE1,maths,grandeurs,moyen,3,3,,convert | true-false,,S1.1.1 | S3.1.1
exercice,fr/exercices/ce1/maths/grandeurs/masses-01,df1633b0,Les masses,CE1,maths,grandeurs,moyen,3,3,,convert | true-false | mcq,,S1.1.1 | S2.1.1 | S3.1.1
exercice,fr/exercices/ce1/maths/logique/grille-01,13f0385a,Grilles logiques,CE1,maths,logique,moyen,2,2,,logic-grid,,S3.2.2
exercice,fr/exercices/ce1/maths/logique/suites-figurales-01,fig001ce1,Suites de figures,CE1,maths,logique,moyen,5,5,,mcq,,S3.2.1
application,fr/applications/ce1/maths/mesures,1ab24156,Lire l'heure — heures et demies,CE1,maths,mesures,facile,1,10,,clock,lireHeure,I1.1.1
exercice,fr/exercices/ce1/maths/mesures/heure-01,2301152e,Apprendre à lire l'heure,CE1,maths,mesures,facile,3,3,,clock,,I1.1.1
exercice,fr/exercices/ce1/maths/mesures/heure-02,l7m8n9o0,Lire l'heure (quarts et 5 minutes),CE1,maths,mesures,moyen,6,6,,clock,,I1.1.1
application,fr/applications/ce1/maths/numeration/arrondir-dizaine,1f733322,Arrondir à la dizaine,CE1,maths,numeration,facile,1,10,,number-check,arrondirNombre,S1.1.1
application,fr/applications/ce1/maths/numeration/blocs-valeur-position-01,a2e9f310,Valeur de position — dizaines/unités,CE1,maths,numeration,facile,1,8,,click-blocks,blocsValeurPosition,S2.1.2
application,fr/applications/ce1/maths/numeration/pairs-impairs,121a53c7,Nombres pairs et impairs,CE1,maths,numeration,facile,1,10,,number-check,pairOuImpair,S1.1.1
application,fr/applications/ce1/maths/numeration/regle-graduee,d226ef83,Lecture sur la règle graduée,CE1,maths,numeration,facile,1,8,,ruler,ruler,I1.1.2
exercice,fr/exercices/ce1/maths/numeration/base10-01,41c73e82,Les blocs de base 10,CE1,maths,numeration,facile,2,2,,base-10,,S2.1.2
exercice,fr/exercices/ce1/maths/numeration/encadrement-01,46662d3a,Encadrement de nombres,CE1,maths,numeration,facile,4,4,,bounding,,S1.1.1
exercice,fr/exercices/ce1/maths/numeration/ordonner-01,8823759a,Ranger des nombres dans l'ordre,CE1,maths,numeration,facile,5,5,,drag-sort,,S3.1.2
exercice,fr/exercices/ce1/maths/numeration/orthographe-nombres-01,0842853d,Orthographe des nombres — 1 à 10,CE1,maths,numeration,facile,3,3,,matching,,S2.1.4
exercice,fr/exercices/ce1/maths/numeration/regle-graduee-01,df12040a,Lecture sur la règle graduée,CE1,maths,numeration,facile,4,4,,ruler,,I1.1.2 | S2.1.3
exercice,fr/exercices/ce1/maths/numeration/suite-nombres-01,06fa1711,Suites de nombres — pas de 5,CE1,maths,numeration,facile,1,8,,fill-table,suiteNombres,S3.2.1
exercice,fr/exercices/ce1/maths/numeration/suite-nombres-02,9591cbd5,Suites de nombres — pas de 2,CE1,maths,numeration,facile,1,8,,fill-table,suiteNombres,S3.2.1
exercice,fr/exercices/ce1/maths/numeration/suite-nombres-03,b2c96643,Suites de nombres — pas de 10,CE1,maths,numeration,facile,1,8,,fill-table,suiteNombres,S3.2.1
exercice,fr/exercices/ce1/maths/numeration/suites-01,ffaa8232,Suites de nombres,CE1,maths,numeration,facile,3,3,,sequence,,S3.2.1
application,fr/applications/ce1/maths/numeration/arrondir-centaine,c4305c95,Arrondir à la centaine,CE1,maths,numeration,moyen,1,10,,number-check,arrondirNombre,S1.1.1
application,fr/applications/ce1/maths/numeration/comparer-1000,1aca14c0,Comparer des nombres jusqu'à 1 000,CE1,maths,numeration,moyen,1,10,,compare,comparerNombres,S3.1.1
application,fr/applications/ce1/maths/numeration/decompo-gen,cf457f3d,"Centaines, dizaines et unités",CE1,maths,numeration,moyen,1,10,,number-check,decompositionCentaines,S1.1.1
application,fr/applications/ce1/maths/numeration/suites-ce1,488ac8c6,Suites de nombres,CE1,maths,numeration,moyen,1,10,,sequence,compterDeNCE1,S3.2.1
exercice,fr/exercices/ce1/maths/numeration/coloriage-magique-01,mc001ce1,Coloriage magique — araignée,CE1,maths,numeration,moyen,1,2,,magic-color,magicColorGrid,S1.1.1
exercice,fr/exercices/ce1/maths/numeration/droite-graduee-01,q2r3s4t5,Lire la droite graduée (1),CE1,maths,numeration,moyen,5,5,,number-line,,S1.1.1
exercice,fr/exercices/ce1/maths/numeration/droite-graduee-02,r3s4t5u6,Placer sur la droite graduée (1),CE1,maths,numeration,moyen,5,5,,number-line,,S1.1.1
exercice,fr/exercices/ce1/maths/numeration/orthographe-nombres-02,f778c825,Orthographe des nombres — 11 à 20,CE1,maths,numeration,moyen,3,3,,matching,,S2.1.4
exercice,fr/exercices/ce1/maths/numeration/orthographe-nombres-03,4d8f4365,Orthographe des nombres — dizaines,CE1,maths,numeration,difficile,3,3,,matching,,S2.1.4
application,fr/applications/ce1/maths/operations/addition-1,7fb8f411,Table d'addition de 1,CE1,maths,operations,facile,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-2,1b1643b2,Table d'addition de 2,CE1,maths,operations,facile,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-3,75b31049,Table d'addition de 3,CE1,maths,operations,facile,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-4,d5b12470,Table d'addition de 4,CE1,maths,operations,facile,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-5,eb192211,Table d'addition de 5,CE1,maths,operations,facile,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/doubles-moities,d4f7c81d,Doubles et moitiés,CE1,maths,operations,facile,1,10,,number-check,doublesMoities,S1.1.2
application,fr/applications/ce1/maths/operations/fruits-facile,3a48dc2d,Additions de fruits (Facile),CE1,maths,operations,facile,1,10,,number-check,comptageFruits,S2.1.1
application,fr/applications/ce1/maths/operations/insectes-facile,4ea05afd,Compter et calculer (Facile),CE1,maths,operations,facile,1,10,,number-check,comptageInsectes,S1.1.1
application,fr/applications/ce1/maths/operations/pyramides,48742bae,Pyramides d'additions,CE1,maths,operations,facile,1,8,,pyramid,pyramideAdditions,S1.2.2
application,fr/applications/ce1/maths/operations/soustraction-1,27b2a4a2,Table de soustraction de 1,CE1,maths,operations,facile,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-2,6e52f745,Table de soustraction de 2,CE1,maths,operations,facile,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-3,d5261222,Table de soustraction de 3,CE1,maths,operations,facile,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-4,8bbf1da0,Table de soustraction de 4,CE1,maths,operations,facile,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-5,923d56c5,Table de soustraction de 5,CE1,maths,operations,facile,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/table-de-10,52c6ed61,Table de 10,CE1,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce1/maths/operations/table-de-2,d1c6fd94,Table de 2,CE1,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce1/maths/operations/table-de-3,cbcd21db,Table de 3,CE1,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce1/maths/operations/table-de-4,01fc2463,Table de 4,CE1,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce1/maths/operations/table-de-5,d85624e3,Table de 5,CE1,maths,operations,facile,1,10,,number-check,multiplicationSimple,S1.1.1
exercice,fr/exercices/ce1/maths/operations/additions-01,c6217178,Additions CE1,CE1,maths,operations,facile,3,3,,number-check,,S1.1.1
exercice,fr/exercices/ce1/maths/operations/pose-addition-01,c3d4e5f6,Additions posées,CE1,maths,operations,facile,5,5,,column-op,,S1.1.1 | S2.1.2
exercice,fr/exercices/ce1/maths/operations/pose-soustraction-01,d4e5f6a7,Soustractions posées,CE1,maths,operations,facile,5,5,,column-op,,S1.1.1 | S2.1.2
exercice,fr/exercices/ce1/maths/operations/pyramides-02,7f1ed47b,Pyramides d'additions (facile),CE1,maths,operations,facile,6,6,,pyramid,,S1.2.2
exercice,fr/exercices/ce1/maths/operations/tables-01,981b1d9c,Tables de multiplication,CE1,maths,operations,facile,4,4,,number-check,,S1.1.1
application,fr/applications/ce1/maths/operations/addition-10,9c936346,Table d'addition de 10,CE1,maths,operations,moyen,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-11,87a0efc1,Table d'addition de 11,CE1,maths,operations,moyen,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-6,c84d9bd3,Table d'addition de 6,CE1,maths,operations,moyen,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-7,f28593db,Table d'addition de 7,CE1,maths,operations,moyen,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-8,c133bdd6,Table d'addition de 8,CE1,maths,operations,moyen,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-9,ed3d6003,Table d'addition de 9,CE1,maths,operations,moyen,1,10,,number-check,additionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/addition-simple,2f609f6f,Addition Simple,CE1,maths,operations,moyen,1,10,,number-check,additionSimple,S1.1.1
application,fr/applications/ce1/maths/operations/addition-trou,a1b2c3d4,Addition à trou,CE1,maths,operations,moyen,1,10,,number-check,additionTrou,S1.1.1
application,fr/applications/ce1/maths/operations/ajouter-100,2ad23fe1,Ajouter ou soustraire 100,CE1,maths,operations,moyen,1,10,,number-check,ajouterSoustraire100,S1.1.2
application,fr/applications/ce1/maths/operations/ajouter-soustraire-10,e2cfe849,Ajouter ou soustraire 10,CE1,maths,operations,moyen,1,10,,number-check,ajouterSoustraire10,S1.1.2
application,fr/applications/ce1/maths/operations/comparer-expressions,b8c9d0e1,Compare sans calculer — additions et soustractions,CE1,maths,operations,moyen,1,8,,compare,compareExpressions,S3.1.1
application,fr/applications/ce1/maths/operations/complements-100,16a90f5f,Compléments à 100,CE1,maths,operations,moyen,1,10,,number-check,complementNombre,S1.1.2
application,fr/applications/ce1/maths/operations/familles-faits,e5f6a7b8,Familles de faits — additions et soustractions,CE1,maths,operations,moyen,1,8,,checkbox,famillesFaits,S2.2.1
application,fr/applications/ce1/maths/operations/fruits-moyen,3f51c4dc,Additions de fruits (Moyen),CE1,maths,operations,moyen,1,10,,number-check,comptageFruits,S2.1.1
application,fr/applications/ce1/maths/operations/insectes-moyen,a01ef6c8,Compter et calculer (Moyen),CE1,maths,operations,moyen,1,10,,number-check,comptageInsectes,S1.1.1
application,fr/applications/ce1/maths/operations/multiplication-simple,4ae726c4,Multiplications,CE1,maths,operations,moyen,1,10,,number-check,multiplicationSimple,S1.1.1
application,fr/applications/ce1/maths/operations/multiplication-trou,e5f6a7b8,Multiplication à trou,CE1,maths,operations,moyen,1,10,,number-check,multiplicationTrou,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-10,739642ca,Table de soustraction de 10,CE1,maths,operations,moyen,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-11,babd64c9,Table de soustraction de 11,CE1,maths,operations,moyen,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-6,8abe210f,Table de soustraction de 6,CE1,maths,operations,moyen,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-7,49ddff90,Table de soustraction de 7,CE1,maths,operations,moyen,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-8,047a6485,Table de soustraction de 8,CE1,maths,operations,moyen,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-9,47672530,Table de soustraction de 9,CE1,maths,operations,moyen,1,10,,number-check,soustractionFacile,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-simple,a3410763,Soustractions,CE1,maths,operations,moyen,1,10,,number-check,soustractionSimple,S1.1.1
application,fr/applications/ce1/maths/operations/soustraction-trou,cf4da89c,Soustraction à trou,CE1,maths,operations,moyen,1,10,,number-check,soustractionTrou,S1.1.1
application,fr/applications/ce1/maths/operations/vrai-faux-ops,b2c3d4e5,Vrai ou faux ? — additions et soustractions,CE1,maths,operations,moyen,1,6,,true-false,vraiFauxOps,S3.2.3
exercice,fr/exercices/ce1/maths/operations/calcul-reflechi-01,ce1cr001,Calcul réfléchi (1),CE1,maths,operations,moyen,4,4,,multi-question,,S1.1.2 | S1.1.3
exercice,fr/exercices/ce1/maths/operations/mult-multiples-10-01,multx10ce1,Multiplier par un multiple de 10,CE1,maths,operations,moyen,5,5,,number-check,,S1.1.1
exercice,fr/exercices/ce1/maths/operations/pyramides-01,411862ee,Pyramides d'additions,CE1,maths,operations,moyen,2,2,,pyramid,,S1.2.2
exercice,fr/exercices/ce1/maths/operations/pyramides-03,e036faca,Pyramides d'additions (moyen),CE1,maths,operations,moyen,6,6,,pyramid,,S1.2.2
exercice,fr/exercices/ce1/maths/operations/trous-01,69630b5c,Opérations à trou,CE1,maths,operations,moyen,4,4,,number-check,,S1.1.1
exercice,fr/exercices/ce1/maths/problemes/comparaison-ecart-01,e4f5a6b7,Combien de plus ? Combien de moins ?,CE1,maths,problemes,facile,5,5,,problem,,A3.1
exercice,fr/exercices/ce1/maths/problemes/composition-01,e1f2a3b4,Parties et tout,CE1,maths,problemes,facile,5,5,,problem,,A1.1
exercice,fr/exercices/ce1/maths/problemes/composition-02,f2a3b4c5,Trouver la partie manquante,CE1,maths,problemes,facile,5,5,,problem,,A1.2
exercice,fr/exercices/ce1/maths/problemes/quotidien-01,45271391,Problèmes du quotidien,CE1,maths,problemes,facile,5,5,,problem,,A2.2 | M1.1 | M1.2 | M1.4
exercice,fr/exercices/ce1/maths/problemes/transformation-moins-01,b4c5d6e7,Combien maintenant ? (perte),CE1,maths,problemes,facile,5,5,,problem,,A2.2
exercice,fr/exercices/ce1/maths/problemes/transformation-plus-01,a3b4c5d6,Combien maintenant ? (gain),CE1,maths,problemes,facile,5,5,,problem,,A2.1
exercice,fr/exercices/ce1/maths/problemes/comparaison-ecart-02,f6a7b8c9,Quelle est la différence ?,CE1,maths,problemes,moyen,5,5,,problem,,A3.1
exercice,fr/exercices/ce1/maths/problemes/comparaison-etat-compare-01,80b5e81a,"De plus, de moins...",CE1,maths,problemes,moyen,5,5,,problem,,A3.2
exercice,fr/exercices/ce1/maths/problemes/comparaison-referent-01,h3i4j5k6,Retrouver l'autre quantité (1),CE1,maths,problemes,moyen,5,5,,problem,,A3.3
exercice,fr/exercices/ce1/maths/problemes/division-partage-01,g2h3i4j5,Partager en groupes égaux (1),CE1,maths,problemes,moyen,5,5,,problem,,M1.2
exercice,fr/exercices/ce1/maths/problemes/problemes-2-etapes-01,m8n9o0p1,Problèmes en deux étapes (1),CE1,maths,problemes,moyen,5,5,,multi-question,,S1.1.1 | S2.1.1
